Device: mps
Parameters: 1,785,137
Ep    200 | Steps      4,187 | Reward     1.0 | Lines   0.0 | Len  20.9 | Eps 0.992
Ep    400 | Steps      8,379 | Reward     1.0 | Lines   0.0 | Len  21.0 | Eps 0.984
Ep    600 | Steps     12,592 | Reward     1.0 | Lines   0.0 | Len  21.1 | Eps 0.976
Ep    800 | Steps     16,811 | Reward     1.0 | Lines   0.0 | Len  21.1 | Eps 0.968
Ep  1,000 | Steps     20,928 | Reward     1.0 | Lines   0.0 | Len  20.6 | Eps 0.960
Ep  1,200 | Steps     25,090 | Reward     1.0 | Lines   0.0 | Len  20.8 | Eps 0.952
Ep  1,400 | Steps     29,244 | Reward     1.0 | Lines   0.0 | Len  20.8 | Eps 0.944
Ep  1,600 | Steps     33,440 | Reward     1.0 | Lines   0.0 | Len  21.0 | Eps 0.936
Ep  1,800 | Steps     37,701 | Reward     1.1 | Lines   0.0 | Len  21.3 | Eps 0.928
Ep  2,000 | Steps     41,894 | Reward     1.0 | Lines   0.0 | Len  21.0 | Eps 0.920
Ep  2,200 | Steps     46,091 | Reward     1.0 | Lines   0.0 | Len  21.0 | Eps 0.912
Ep  2,400 | Steps     50,316 | Reward     1.0 | Lines   0.0 | Len  21.1 | Eps 0.904
Ep  2,600 | Steps     54,597 | Reward     1.1 | Lines   0.0 | Len  21.4 | Eps 0.896
Ep  2,800 | Steps     58,883 | Reward     1.1 | Lines   0.0 | Len  21.4 | Eps 0.888
Ep  3,000 | Steps     63,227 | Reward     1.1 | Lines   0.0 | Len  21.7 | Eps 0.880
Ep  3,200 | Steps     67,663 | Reward     1.2 | Lines   0.1 | Len  22.2 | Eps 0.871
Ep  3,400 | Steps     72,092 | Reward     1.2 | Lines   0.0 | Len  22.1 | Eps 0.863
Ep  3,600 | Steps     76,513 | Reward     1.2 | Lines   0.1 | Len  22.1 | Eps 0.855
Ep  3,800 | Steps     81,041 | Reward     1.3 | Lines   0.1 | Len  22.6 | Eps 0.846
Ep  4,000 | Steps     85,439 | Reward     1.1 | Lines   0.0 | Len  22.0 | Eps 0.838
Ep  4,200 | Steps     89,959 | Reward     1.2 | Lines   0.1 | Len  22.6 | Eps 0.829
Ep  4,400 | Steps     94,490 | Reward     1.2 | Lines   0.1 | Len  22.7 | Eps 0.820
Ep  4,600 | Steps     99,038 | Reward     1.2 | Lines   0.1 | Len  22.7 | Eps 0.812
Ep  4,800 | Steps    103,566 | Reward     1.2 | Lines   0.1 | Len  22.6 | Eps 0.803
Ep  5,000 | Steps    108,216 | Reward     1.3 | Lines   0.1 | Len  23.2 | Eps 0.794
Ep  5,200 | Steps    112,894 | Reward     1.3 | Lines   0.1 | Len  23.4 | Eps 0.786
Ep  5,400 | Steps    117,574 | Reward     1.4 | Lines   0.1 | Len  23.4 | Eps 0.777
Ep  5,600 | Steps    122,264 | Reward     1.4 | Lines   0.1 | Len  23.4 | Eps 0.768
Ep  5,800 | Steps    127,003 | Reward     1.4 | Lines   0.1 | Len  23.7 | Eps 0.759
Ep  6,000 | Steps    131,833 | Reward     1.5 | Lines   0.1 | Len  24.1 | Eps 0.750
Ep  6,200 | Steps    136,797 | Reward     1.5 | Lines   0.2 | Len  24.8 | Eps 0.740
Ep  6,400 | Steps    141,777 | Reward     1.6 | Lines   0.2 | Len  24.9 | Eps 0.731
Ep  6,600 | Steps    146,636 | Reward     1.5 | Lines   0.1 | Len  24.3 | Eps 0.721
Ep  6,800 | Steps    151,470 | Reward     1.5 | Lines   0.2 | Len  24.2 | Eps 0.712
Ep  7,000 | Steps    156,311 | Reward     1.5 | Lines   0.2 | Len  24.2 | Eps 0.703
Ep  7,200 | Steps    161,220 | Reward     1.5 | Lines   0.2 | Len  24.5 | Eps 0.694
Ep  7,400 | Steps    166,190 | Reward     1.6 | Lines   0.2 | Len  24.9 | Eps 0.684
Ep  7,600 | Steps    171,192 | Reward     1.6 | Lines   0.2 | Len  25.0 | Eps 0.675
Ep  7,800 | Steps    176,183 | Reward     1.6 | Lines   0.2 | Len  25.0 | Eps 0.665
Ep  8,000 | Steps    181,421 | Reward     1.7 | Lines   0.2 | Len  26.2 | Eps 0.655
Ep  8,200 | Steps    186,702 | Reward     1.8 | Lines   0.2 | Len  26.4 | Eps 0.645
Ep  8,400 | Steps    192,004 | Reward     1.9 | Lines   0.3 | Len  26.5 | Eps 0.635
Ep  8,600 | Steps    197,349 | Reward     1.8 | Lines   0.3 | Len  26.7 | Eps 0.625
Ep  8,800 | Steps    202,772 | Reward     2.0 | Lines   0.3 | Len  27.1 | Eps 0.615
Ep  9,000 | Steps    208,164 | Reward     1.9 | Lines   0.3 | Len  27.0 | Eps 0.604
Ep  9,200 | Steps    213,513 | Reward     1.9 | Lines   0.3 | Len  26.7 | Eps 0.594
Ep  9,400 | Steps    218,898 | Reward     1.9 | Lines   0.3 | Len  26.9 | Eps 0.584
Ep  9,600 | Steps    224,256 | Reward     1.9 | Lines   0.3 | Len  26.8 | Eps 0.574
Ep  9,800 | Steps    229,671 | Reward     2.1 | Lines   0.5 | Len  27.1 | Eps 0.564
Ep 10,000 | Steps    234,927 | Reward     1.8 | Lines   0.3 | Len  26.3 | Eps 0.554
Ep 10,200 | Steps    240,336 | Reward     2.0 | Lines   0.4 | Len  27.0 | Eps 0.543
Ep 10,400 | Steps    245,692 | Reward     2.0 | Lines   0.4 | Len  26.8 | Eps 0.533
Ep 10,600 | Steps    251,241 | Reward     2.2 | Lines   0.5 | Len  27.7 | Eps 0.523
Ep 10,800 | Steps    256,865 | Reward     2.2 | Lines   0.5 | Len  28.1 | Eps 0.512
Ep 11,000 | Steps    262,469 | Reward     2.2 | Lines   0.5 | Len  28.0 | Eps 0.501
Ep 11,200 | Steps    268,171 | Reward     2.4 | Lines   0.6 | Len  28.5 | Eps 0.490
Ep 11,400 | Steps    273,846 | Reward     2.3 | Lines   0.6 | Len  28.4 | Eps 0.480
Ep 11,600 | Steps    279,611 | Reward     2.4 | Lines   0.6 | Len  28.8 | Eps 0.469
Ep 11,800 | Steps    285,251 | Reward     2.3 | Lines   0.6 | Len  28.2 | Eps 0.458
Ep 12,000 | Steps    290,824 | Reward     2.3 | Lines   0.6 | Len  27.9 | Eps 0.447
Ep 12,200 | Steps    296,333 | Reward     2.2 | Lines   0.5 | Len  27.5 | Eps 0.437
Ep 12,400 | Steps    301,998 | Reward     2.4 | Lines   0.6 | Len  28.3 | Eps 0.426
Ep 12,600 | Steps    307,587 | Reward     2.4 | Lines   0.7 | Len  27.9 | Eps 0.416
Ep 12,800 | Steps    313,164 | Reward     2.5 | Lines   0.8 | Len  27.9 | Eps 0.405
Ep 13,000 | Steps    318,929 | Reward     2.6 | Lines   0.8 | Len  28.8 | Eps 0.394
Ep 13,200 | Steps    324,740 | Reward     2.8 | Lines   0.9 | Len  29.1 | Eps 0.383
Ep 13,400 | Steps    330,718 | Reward     3.0 | Lines   1.1 | Len  29.9 | Eps 0.372
Ep 13,600 | Steps    336,816 | Reward     3.0 | Lines   1.0 | Len  30.5 | Eps 0.360
